ID (do not edit),Content type,Element type,Source language (GL),Target language (ES)
"{""contentId"":""d45c9397-8494-4a09-8955-3e6a17acd89f"",""fieldId"":""compFeatures.wPhoto.data.uri"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WPhoto,f38a28_39d05ec5a87b4a818edddfb456250d34~mv2.jpeg,f38a28_39d05ec5a87b4a818edddfb456250d34~mv2.jpeg
"{""contentId"":""d45c9397-8494-4a09-8955-3e6a17acd89f"",""fieldId"":""compFeatures.wPhoto.data.title"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WPhoto,,
"{""contentId"":""d45c9397-8494-4a09-8955-3e6a17acd89f"",""fieldId"":""compFeatures.wPhoto.data.description"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WPhoto,,
"{""contentId"":""d45c9397-8494-4a09-8955-3e6a17acd89f"",""fieldId"":""compFeatures.wPhoto.data.alt"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WPhoto,charlas de sensibilización coa discapacidade,Charlas de sensibilización sobre la discapacidad.
"{""contentId"":""68106677-5b7f-446d-b602-d06b2f1a988f"",""fieldId"":""product.name"",""sequencePath"":[]}",TEXT,catalog-product,Cadro de tocado feminino con flores,Cadro de tocado feminino con flores
"{""contentId"":""68106677-5b7f-446d-b602-d06b2f1a988f"",""fieldId"":""product.description"",""sequencePath"":[]}",TEXT,catalog-product,"<p><span><span><span><span>CADRO DE TOCADO FEMININO CON FLORES</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>Descubre unha fusión perfecta entre minimalismo e elegancia, a través deste tocado feminino con flores confeccionado por Xogo de Fíos. Trátase dun proceso de creación realmente singular, no que tan só intervén a habilidade <strong>manual e o tacto</strong> que posúe Lorena para dar maxia a cada deseño. Esta <strong>técnica artesanal </strong>de fiado basease na creatividade e a diferenciación do produto; sempre con énfase nos valores transversais de igualdade, inclusión das persoas con discapacidade e a sustentabilidade co medio ambiente. </span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>En Xogo de Fíos buscamos delicadeza, estilo e evocación en cada unha das nosas obras. Por iso, confeccionamos o tocado das flores tapizando con tonalidades de cores vivas, que resaltan a beleza e elegancia desta peza artesanal. Pola contra, os trazos faciales da silueta feminina confecciónanse cunha única fiada, que representa a unidade e a fluidez en cada curva e liña, aportando un toque de elegancia e sofisticación. Xa pode ser túa esta peza artesanal elaborada totalmente a man!</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>CARACTERÍSTICAS:</span></span></span></span></p><ul>	<li><strong><span>Materiais</span></strong><span><strong>:</strong> fío de finca (algodón 100%), cinta de dobre cara, cartolina branca, enmarcado con cristal e tablilla, inclúe colgadoiro.</span></li>	<li><strong><span>Deseño</span></strong><span><strong>: </strong>cadro de tocado feminino con flores, confeccionado con fío.</span></li>	<li><strong><span>Dimensións</span></strong><span><strong>:</strong> 29,7X21X1,5cm.</span></li>	<li><span><strong>Formato: </strong>cadro enmarcado con cristal e táboa, no caso que prefiras outras bases (prato ou tablilla) recoméndase contactar.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>O TEU GUSTO: en Xogo de Fíos creemos na individualidade, na singularidade e na creatividade; por iso tes opción de personalizar (deseño, cor, tamaño, base) para que se adapte perfectamente o teu estilo. Contáctanos para converter a túa idea en realidade! </span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>BENEFICIOS:</span></span></span></span></p><ul>	<li><strong><span>Singularidade</span></strong><span><strong>:</strong> peza decorativa que combina arte contemporánea e minimalismo.</span></li>	<li><strong><span>Distinción</span></strong><span>: o profundo significado que transmite este cadro é innegable, pero o verdadeiro valor engadido do produto radica na confección a través do tacto.</span></li>	<li><strong><span>Proceso</span></strong><span><strong> manual:</strong> trátase dunha obra confeccionada totalmente a man, sen que medie ningún tipo de maquinaria. O tacto é o instrumento de traballo.</span></li>	<li><strong><span>Referente</span></strong><span><strong> artístico: </strong>atendemos minuciosamente cada detalle do proceso, sendo conscientes da dedicación que implica esta técnica e ofrecemos a opción de personalizar sempre que sexa posible.</span></li>	<li><strong><span>Sustentable</span></strong><span> co medio ambiente e de calidade en canto a materiais e servizos.</span></li>	<li><strong><span>Perfecto</span></strong><span><strong> </strong>para decorar un espazo moderno cuntoque de creatividade.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>PREZO: 35€ (IVA incluído) + gastos de envío a toda España.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>POLÍTICA DE DEVOLUCIÓN:</span></span></span></span></p><ul>	<li><span>Debido a ruptura do produto ou mala calidade do mesmo, aceptamos devolucións nos 14 días naturais posteriores á súa recepción, asumindo desde Xogo de Fíos o custo de dita devolución.</span></li>	<li><span>Se o cliente rexeita o produto por motivos persoais, aceptamos devolucións nos 14 días naturais posteriores a recepción do mesmo, asumindo o cliente dito custo. </span></li></ul><p>&nbsp;</p><p><span><span><span><span>Valora cada peza como unha obra única de arte inclusiva!</span></span></span></span></p><p>&nbsp;</p>","<p><span><span><span><span>CUADRO DE TOCADO FEMENINO CON FLORES</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>Descubre una fusión perfecta entre minimalismo y elegancia, a través de este tocado femenino con flores confeccionado por Juego de Fíos. Se trata de un proceso de creación realmente singular, en el que tan sólo interviene la habilidad <strong>manual y el tacto</strong> que posee Lorena para dar magia a cada diseño. Esta <strong>técnica artesanal </strong>de fiado se basa en la creatividad y diferenciación del producto; siempre con énfasis en los valores transversales de igualdad, inclusión de las personas con discapacidad y la sostenibilidad con el medio ambiente. </span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>En Juego de Fíos buscamos delicadeza, estilo y evocación en cada una de nuestras obras. Por eso, confeccionamos el tocado de las flores tapizando con tonalidades de colores vivas, que resaltan la belleza y elegancia de esta pieza artesanal. Por el contrario, los trazos faciales de la silueta femenina se confecccúan con una única fiada, que representa la unidad y la fluidez en cada curva y línea, aportando un toque de elegancia y sofisticación. Ya puede ser tú esta pieza artesanal elaborada totalmente a mano!</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>CARACTERÍSTICAS:</span></span></span></span></p><ul>	<li><strong><span>Materiales</span></strong><span><strong>:</strong> hío de finca (algodón 100%), cinta de doble cara, cartolina blanca, enmarcado con cristal y tablilla, incluye colgadero.</span></li>	<li><strong><span>Diseño</span></strong><span><strong>: </strong>cuadro de tocado femenino con flores, confeccionado con fío.</span></li>	<li><strong><span>Dimensiones</span></strong><span><strong>:</strong> 29,7X21X1,5cm.</span></li>	<li><span><strong>Formato: </strong>cuadro enmarcado con cristal y tabla, en el caso que prefieras otras bases (plato o tablilla) se recomienda contactar.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>El TEU GUSTO: en Juego de Fíos creemos en la individualidad, en la singularidad y en la creatividad; por eso tes opción de personalizar (diseño, color, tamaño, base) para que se adapte perfectamente el tiempo estilo. Contáctanos para convertir a túa idea en realidade! </span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>BENEFICIOS:</span></span></span></span></p><ul>	<li><strong><span>Singularidad</span></strong><span><strong>:</strong> pieza decorativa que combina arte contemporánea y minimalismo.</span></li>	<li><strong><span>Distinción</span></strong><span>: el profundo significado que transmite este cuadro es innegable, pero el verdadero valor añadido del producto radica en la confección a través del tacto.</span></li>	<li><strong><span>Proceso</span></strong><span><strong> manual:</strong> se trata de una obra confeccionada totalmente a mano, sin que medie ningún tipo de maquinaria. El tacto es el instrumento de trabajo.</span></li>	<li><strong><span>Referente</span></strong><span><strong> artístico: </strong>atendemos minuciosamente cada detalle del proceso, siendo conscientes de la dedicación que implica esta técnica y ofrecemos la opción de personalizar siempre que sea posible.</span></li>	<li><strong><span>Sostenible</span></strong><span> con el medio ambiente y de calidad en cuanto a materiales y servicios.</span></li>	<li><strong><span>Perfecto</span></strong><span><strong> </strong>para decorar un espacio moderno con un toque de creatividad.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>PRECIO: 35€ (IVA incluido) + gastos de envío a toda España.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>POLÍTICA DE DEVOLUCIÓN:</span></span></span></span></p><ul>	<li><span>Debido a ruptura del producto o mala calidad del mismo, aceptamos devoluciones en los 14 días naturales posteriores a su recepción, asumiendo desde Juego de Fíos el coste de dicha devolución.</span></li>	<li><span>Si el cliente rechaza el producto por motivos personales, aceptamos devoluciones en los 14 días naturales posteriores la recepción del mismo, asumiendo el cliente dicho coste. </span></li></ul><p>&nbsp;</p><p><span><span><span><span>Valora cada pieza como una obra única de arte inclusiva!</span></span></span></span></p><p>&nbsp;</p>"
"{""contentId"":""68106677-5b7f-446d-b602-d06b2f1a988f"",""fieldId"":""product.seoInfo.description"",""sequencePath"":[]}",TEXT,catalog-product,Cadro Tocado Flores confeccionado artesanalmente con fíos a través do tacto.,Cadro Tocado Flores confeccionado artesanalmente con fíos a través do tacto.
"{""contentId"":""2313788b-b5dd-4353-889c-99cc03e90e19"",""fieldId"":""compFeatures.stylableButton.data.label"",""sequencePath"":[]}",TEXT,wixui.StylableButton,Só as esenciais,Sólo las esenciales
"{""contentId"":""4d29d78c-8967-48be-b935-183012eea2fd"",""fieldId"":""product.name"",""sequencePath"":[]}",TEXT,catalog-product,Triqueta celta sobre base de madeira,Triqueta celta sobre base de madeira
"{""contentId"":""4d29d78c-8967-48be-b935-183012eea2fd"",""fieldId"":""product.description"",""sequencePath"":[]}",TEXT,catalog-product,"<p><span><span><span><span>Descubre a beleza e o profundo significado desta triqueta celta, confeccionada artesanalmente por Xogo de Fíos. Trátase dun proceso de creación realmente singular, no que tan só intervén a habilidade manual e o tacto que posúe Lorena para dar maxia a cada deseño. Esta técnica artesanal de fiado basease na creatividade e a diferenciación do produto; sempre con énfase nos valores transversais de igualdade, inclusión das persoas con discapacidade e a sustentabilidade co medio ambiente.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>Este símbolo celta, moito menos coñecido que os famosos trisqueis, está asociado a feminidade e a maxia desta cultura ancestral. A súa orixe data duns 5000 anos de antigüidade e representa á parte feminina do universo, ademais de bendicir e propiciar a fertilidade; converténdose no símbolo da maternidade. Así, desde Xogo de Fíos quixémoslle dar un toque de empoderamento a través do fiado en cor violeta que, sobre o prato de madeira natural, vai resaltar cada detalle da confección. Non deixes de adquirir esta peza artesanal única!</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>Tal foi a súa relevancia que, desde AJE Ourense, elixírona como agasallo institucional para facer visible o 8M. Eu non podo máis que sentirme orgullosa desta iniciativa!</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>CARACTERÍSTICAS:</span></span></span></span></p><ul>	<li><span>Materiais</span><span>: fío de finca (algodón 100%), cinta de dobre cara, prato de madeira natural, cola branca, verniz mate ecolóxico en aerosol e colgadoiro.</span></li>	<li><span>Deseño</span><span>: triqueta celta confeccionada con fío sobre prato de madeira natural.</span></li>	<li><span>Dimensións</span><span>: 16cm diámetro e 2cm grosor.</span></li>	<li><span>Cores</span><span>: empregamos fío en tonalidades violetas ou moradas que representan a feminidade, sobre a madeira natural para que contraste. </span></li>	<li><span>Bases: polo formato do deseño empregamos madeira, pero no caso que prefiras outras bases (cadro ou tablilla) recoméndase contactar.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>O TEU GUSTO: en Xogo de Fíos creemos na individualidade, na singularidade e na creatividade; por iso tes opción de personalizar (deseño, cor, tamaño, base, nome...) para que se adapte perfectamente o teu estilo. Contáctanos para converter a túa idea en realidade! </span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>BENEFICIOS:</span></span></span></span></p><ul>	<li><span>Singularidade</span><span>: peza decorativa que combina arte e simbolismo cultural.</span></li>	<li><span>Distinción</span><span>: a beleza e elegancia que transmite este símbolo celta é innegable, pero o verdadeiro valor engadido do produto radica na confección a través do tacto.</span></li>	<li><span>Proceso</span><span> manual: trátase dunha obra confeccionada totalmente a man, sen que medie ningún tipo de maquinaria. O tacto é o instrumento de traballo.</span></li>	<li><span>Referente</span><span> artístico: atendemos minuciosamente cada detalle do proceso, sendo conscientes da dedicación que implica esta técnica e ofrecemos a opción de personalizar sempre que sexa posible.</span></li>	<li><span>Sustentable</span><span> co medio ambiente e de calidade en canto a materiais e servizos.</span></li>	<li><span>Perfecto</span><span> para amantes da tradición celta ou mesmo ideal como agasallo especial.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>PREZO: 12€ (IVA incluído) + gastos de envío a toda España.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>POLÍTICA DE DEVOLUCIÓN:</span></span></span></span></p><ul>	<li><span>Debido a ruptura do produto ou mala calidade do mesmo, aceptamos devolucións nos 14 días naturais posteriores á súa recepción, asumindo desde Xogo de Fíos o custo de dita devolución.</span></li>	<li><span>Se o cliente rexeita o produto por motivos persoais, aceptamos devolucións nos 14 días naturais posteriores a recepción do mesmo, asumindo o cliente dito custo. </span></li></ul><p>&nbsp;</p><p><span><span><span><span>Valora cada peza como unha obra única de arte inclusiva!</span></span></span></span></p><p>&nbsp;</p>","<p><span><span><span><span>Descubre la belleza y el profundo significado de esta triqueta celta, confeccionada artesanalmente por Xogo de Fíos. Se trata de un proceso de creación realmente singular, en el que solo interviene la habilidad manual y el tacto que posee Lorena para dar magia a cada diseño. Esta técnica artesanal de hilado se basa en la creatividad y la diferenciación del producto; siempre con énfasis en los valores transversales de igualdad, inclusión de las personas con discapacidad y la sostenibilidad con el medio ambiente.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>Este símbolo celta, mucho menos conocido que los famosos triskeles, está asociado a la feminidad y la magia de esta cultura ancestral. Su origen data de unos 5,000 años de antigüedad y representa la parte femenina del universo, además de bendecir y propiciar la fertilidad; convirtiéndose en el símbolo de la maternidad. Así, desde Xogo de Fíos quisimos darle un toque de empoderamiento a través del hilado en color violeta que, sobre el plato de madera natural, va a resaltar cada detalle de la confección. ¡No dejes de adquirir esta pieza artesanal única!</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>Tanta fue su relevancia que, desde AJE Ourense, la eligieron como regalo institucional para hacer visible el 8M. ¡No puedo más que sentirme orgullosa de esta iniciativa!</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>CARACTERÍSTICAS:</span></span></span></span></p><ul> <li><span>Materiales</span><span>: hilo de finca (algodón 100%), cinta de doble cara, plato de madera natural, cola blanca, barniz mate ecológico en aerosol y colgador.</span></li> <li><span>Diseño</span><span>: triqueta celta confeccionada con hilo sobre plato de madera natural.</span></li> <li><span>Dimensiones</span><span>: 16cm diámetro y 2cm grosor.</span></li> <li><span>Colores</span><span>: empleamos hilo en tonalidades violetas o moradas que representan la feminidad, sobre la madera natural para que contraste. </span></li> <li><span>Bases</span><span>: por el formato del diseño empleamos madera, pero en caso de que prefieras otras bases (cuadro o tablilla) se recomienda contactar.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>TU GUSTO: en Xogo de Fíos creemos en la individualidad, en la singularidad y en la creatividad; por eso tienes la opción de personalizar (diseño, color, tamaño, base, nombre...) para que se adapte perfectamente a tu estilo. ¡Contáctanos para convertir tu idea en realidad! </span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>BENEFICIOS:</span></span></span></span></p><ul> <li><span>Singularidad</span><span>: pieza decorativa que combina arte y simbolismo cultural.</span></li> <li><span>Distinción</span><span>: la belleza y elegancia que transmite este símbolo celta es innegable, pero el verdadero valor añadido del producto radica en la confección a través del tacto.</span></li> <li><span>Proceso</span><span> manual: se trata de una obra confeccionada totalmente a mano, sin que medie ningún tipo de maquinaria. El tacto es el instrumento de trabajo.</span></li> <li><span>Referente</span><span> artístico: atendemos minuciosamente cada detalle del proceso, siendo conscientes de la dedicación que implica esta técnica y ofrecemos la opción de personalizar siempre que sea posible.</span></li> <li><span>Sostenible</span><span> con el medio ambiente y de calidad en cuanto a materiales y servicios.</span></li> <li><span>Perfecto</span><span> para amantes de la tradición celta o incluso ideal como regalo especial.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>PRECIO: 12€ (IVA incluido) + gastos de envío a toda España.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>POLÍTICA DE DEVOLUCIÓN:</span></span></span></span></p><ul> <li><span>Debido a la ruptura del producto o mala calidad del mismo, aceptamos devoluciones en los 14 días naturales posteriores a su recepción, asumiendo desde Xogo de Fíos el costo de dicha devolución.</span></li> <li><span>Si el cliente rechaza el producto por motivos personales, aceptamos devoluciones en los 14 días naturales posteriores a la recepción del mismo, asumiendo el cliente dicho costo. </span></li></ul><p>&nbsp;</p><p><span><span><span><span>¡Valora cada pieza como una obra única de arte inclusiva!</span></span></span></span></p><p>&nbsp;</p>"
